Capital Investment Budgeted,Construction Complexity,Design Complexity,Operative + Fuel Costs,Design Maturity,Licensing Status,Supplier Availbility,Discharge Burnup,Load following Capabilities,Net Power Output,Thermal Efficiency,Electricity Market Benefit,GHGe Benefit,Nuclear Waste,Percived Safety
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.138,0.008,0.456,0.034,0.001,0.001,0.001,0.001,0.015,0.009,0.004,0.001,0.307,0.023,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.005,0.001,0.001,0.001,0.001,0.001,0.001,0.494,0.001,0.001,0.49,0.001,0.001,0.001,0.001
0.039,0.054,0.038,0.027,0.001,0.001,0.001,0.025,0.002,0.207,0.599,0.001,0.001,0.002,0.001
0.039,0.054,0.096,0.319,0.039,0.088,0.143,0.09,0.002,0.036,0.073,0.001,0.007,0.012,0.002
0.006,0.001,0.001,0.007,0.001,0.022,0.001,0.934,0.001,0.002,0.001,0.019,0.001,0.001,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.082,0.006,0.006,0.007,0.001,0.001,0.001,0.027,0.006,0.22,0.638,0.001,0.001,0.002,0.001
0.603,0.054,0.054,0.068,0.001,0.001,0.001,0.004,0.046,0.048,0.035,0.001,0.001,0.083,0.001
0.172,0.013,0.013,0.016,0.001,0.001,0.001,0.033,0.014,0.27,0.459,0.001,0.001,0.004,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.65,0.058,0.058,0.074,0.004,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.475,0.042,0.042,0.053,0.001,0.001,0.001,0.003,0.036,0.037,0.027,0.259,0.001,0.021,0.001
