"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Poland (PL)","Actual Total Load [MW] - Poland (PL)"
"27.10.2024 12:30 - 27.10.2024 12:45","15450","15045"
"27.10.2024 12:45 - 27.10.2024 13:00","15450","15301"
"27.10.2024 13:00 - 27.10.2024 13:15","15450","15303"
"27.10.2024 13:15 - 27.10.2024 13:30","15500","15652"
"27.10.2024 13:30 - 27.10.2024 13:45","15550","15729"
"27.10.2024 13:45 - 27.10.2024 14:00","15600","15734"
"27.10.2024 14:00 - 27.10.2024 14:15","15650","15723"
"27.10.2024 14:15 - 27.10.2024 14:30","15700","15750"
"27.10.2024 14:30 - 27.10.2024 14:45","15750","15726"
"27.10.2024 14:45 - 27.10.2024 15:00","15800","15738"
"27.10.2024 15:00 - 27.10.2024 15:15","15850","15609"
"27.10.2024 15:15 - 27.10.2024 15:30","15950","15837"
"27.10.2024 15:30 - 27.10.2024 15:45","16000","16174"
"27.10.2024 15:45 - 27.10.2024 16:00","16100","16146"
"27.10.2024 16:00 - 27.10.2024 16:15","16350","16538"
"27.10.2024 16:15 - 27.10.2024 16:30","16550","16921"
"27.10.2024 16:30 - 27.10.2024 16:45","16900","17367"
"27.10.2024 16:45 - 27.10.2024 17:00","17400","17576"
"27.10.2024 17:00 - 27.10.2024 17:15","17700","17881"
"27.10.2024 17:15 - 27.10.2024 17:30","17900","17706"
"27.10.2024 17:30 - 27.10.2024 17:45","17900","17706"
"27.10.2024 17:45 - 27.10.2024 18:00","17900","17726"
"27.10.2024 18:00 - 27.10.2024 18:15","17850","17766"
"27.10.2024 18:15 - 27.10.2024 18:30","17800","17748"
"27.10.2024 18:30 - 27.10.2024 18:45","17800","17872"
"27.10.2024 18:45 - 27.10.2024 19:00","17800","17851"
"27.10.2024 19:00 - 27.10.2024 19:15","17800","17905"
"27.10.2024 19:15 - 27.10.2024 19:30","17800","17887"
"27.10.2024 19:30 - 27.10.2024 19:45","17750","17742"
"27.10.2024 19:45 - 27.10.2024 20:00","17650","17618"
"27.10.2024 20:00 - 27.10.2024 20:15","17550","17339"
"27.10.2024 20:15 - 27.10.2024 20:30","17400","17071"
"27.10.2024 20:30 - 27.10.2024 20:45","17250","16908"
"27.10.2024 20:45 - 27.10.2024 21:00","17000","16546"
"27.10.2024 21:00 - 27.10.2024 21:15","16800","16426"
"27.10.2024 21:15 - 27.10.2024 21:30","16500","16210"
"27.10.2024 21:30 - 27.10.2024 21:45","16250","15839"
"27.10.2024 21:45 - 27.10.2024 22:00","16100","15513"
"27.10.2024 22:00 - 27.10.2024 22:15","15950","15583"
"27.10.2024 22:15 - 27.10.2024 22:30","15700","15383"
"27.10.2024 22:30 - 27.10.2024 22:45","15550","15101"
"27.10.2024 22:45 - 27.10.2024 23:00","15250","14936"
"27.10.2024 23:00 - 27.10.2024 23:15","15000","14734"
"27.10.2024 23:15 - 27.10.2024 23:30","14800","14676"
"27.10.2024 23:30 - 27.10.2024 23:45","14600","14200"
"27.10.2024 23:45 - 28.10.2024 00:00","14450","14104"
"28.10.2024 00:00 - 28.10.2024 00:15","14100","13878"
"28.10.2024 00:15 - 28.10.2024 00:30","13950","13883"
"28.10.2024 00:30 - 28.10.2024 00:45","13850","13849"
"28.10.2024 00:45 - 28.10.2024 01:00","13700","13677"
"28.10.2024 01:00 - 28.10.2024 01:15","13650","13642"
"28.10.2024 01:15 - 28.10.2024 01:30","13600","13596"
"28.10.2024 01:30 - 28.10.2024 01:45","13550","13550"
"28.10.2024 01:45 - 28.10.2024 02:00","13550","13477"
"28.10.2024 02:00 - 28.10.2024 02:15","13550","13393"
"28.10.2024 02:15 - 28.10.2024 02:30","13550","13537"
"28.10.2024 02:30 - 28.10.2024 02:45","13550","13403"
"28.10.2024 02:45 - 28.10.2024 03:00","13550","13546"
"28.10.2024 03:00 - 28.10.2024 03:15","13550","13620"
"28.10.2024 03:15 - 28.10.2024 03:30","13550","13574"
"28.10.2024 03:30 - 28.10.2024 03:45","13600","13690"
"28.10.2024 03:45 - 28.10.2024 04:00","13700","13794"
"28.10.2024 04:00 - 28.10.2024 04:15","13800","14144"
"28.10.2024 04:15 - 28.10.2024 04:30","13950","14315"
"28.10.2024 04:30 - 28.10.2024 04:45","14100","14487"
"28.10.2024 04:45 - 28.10.2024 05:00","14250","14673"
"28.10.2024 05:00 - 28.10.2024 05:15","14500","15045"
"28.10.2024 05:15 - 28.10.2024 05:30","14950","15450"
"28.10.2024 05:30 - 28.10.2024 05:45","15400","15746"
"28.10.2024 05:45 - 28.10.2024 06:00","16150","16698"
"28.10.2024 06:00 - 28.10.2024 06:15","17450","17831"
"28.10.2024 06:15 - 28.10.2024 06:30","18000","18474"
"28.10.2024 06:30 - 28.10.2024 06:45","18550","19049"
"28.10.2024 06:45 - 28.10.2024 07:00","19100","19745"
"28.10.2024 07:00 - 28.10.2024 07:15","19750","20271"
"28.10.2024 07:15 - 28.10.2024 07:30","20100","20388"
"28.10.2024 07:30 - 28.10.2024 07:45","20300","20588"
"28.10.2024 07:45 - 28.10.2024 08:00","20700","20944"
"28.10.2024 08:00 - 28.10.2024 08:15","21000","21072"
"28.10.2024 08:15 - 28.10.2024 08:30","21150","21249"
"28.10.2024 08:30 - 28.10.2024 08:45","21250","21001"
"28.10.2024 08:45 - 28.10.2024 09:00","21250","20887"
"28.10.2024 09:00 - 28.10.2024 09:15","21250","21084"
"28.10.2024 09:15 - 28.10.2024 09:30","21250","20944"
"28.10.2024 09:30 - 28.10.2024 09:45","21200","20613"
"28.10.2024 09:45 - 28.10.2024 10:00","20850","19915"
"28.10.2024 10:00 - 28.10.2024 10:15","20750","19965"
"28.10.2024 10:15 - 28.10.2024 10:30","20750","20232"
"28.10.2024 10:30 - 28.10.2024 10:45","20750","20262"
"28.10.2024 10:45 - 28.10.2024 11:00","20750","20107"
"28.10.2024 11:00 - 28.10.2024 11:15","20750","20320"
"28.10.2024 11:15 - 28.10.2024 11:30","20750","20336"
"28.10.2024 11:30 - 28.10.2024 11:45","20750","20283"
"28.10.2024 11:45 - 28.10.2024 12:00","20750","20154"
"28.10.2024 12:00 - 28.10.2024 12:15","20750","20169"
"28.10.2024 12:15 - 28.10.2024 12:30","20750","20411"
"28.10.2024 12:30 - 28.10.2024 12:45","20750","20511"
"28.10.2024 12:45 - 28.10.2024 13:00","20750","20476"
"28.10.2024 13:00 - 28.10.2024 13:15","20750","20440"
"28.10.2024 13:15 - 28.10.2024 13:30","20650","20457"
"28.10.2024 13:30 - 28.10.2024 13:45","20300","20345"
"28.10.2024 13:45 - 28.10.2024 14:00","20100","19961"
"28.10.2024 14:00 - 28.10.2024 14:15","20300","20530"
"28.10.2024 14:15 - 28.10.2024 14:30","20550","20713"
"28.10.2024 14:30 - 28.10.2024 14:45","20650","20788"
"28.10.2024 14:45 - 28.10.2024 15:00","20650","20625"
"28.10.2024 15:00 - 28.10.2024 15:15","20650","20708"
"28.10.2024 15:15 - 28.10.2024 15:30","20700","20923"
"28.10.2024 15:30 - 28.10.2024 15:45","20700","20999"
"28.10.2024 15:45 - 28.10.2024 16:00","20600","21062"
"28.10.2024 16:00 - 28.10.2024 16:15","20700","21238"
"28.10.2024 16:15 - 28.10.2024 16:30","20900","21584"
"28.10.2024 16:30 - 28.10.2024 16:45","21400","22124"
"28.10.2024 16:45 - 28.10.2024 17:00","21750","22233"
"28.10.2024 17:00 - 28.10.2024 17:15","22000","22283"
"28.10.2024 17:15 - 28.10.2024 17:30","22000","22209"
"28.10.2024 17:30 - 28.10.2024 17:45","22000","22090"
"28.10.2024 17:45 - 28.10.2024 18:00","21750","21826"
"28.10.2024 18:00 - 28.10.2024 18:15","21750","21724"
"28.10.2024 18:15 - 28.10.2024 18:30","21750","21840"
"28.10.2024 18:30 - 28.10.2024 18:45","21750","21766"
"28.10.2024 18:45 - 28.10.2024 19:00","21750","21781"
"28.10.2024 19:00 - 28.10.2024 19:15","21750","21700"
"28.10.2024 19:15 - 28.10.2024 19:30","21750","21812"
"28.10.2024 19:30 - 28.10.2024 19:45","21700","21671"
"28.10.2024 19:45 - 28.10.2024 20:00","21550","21528"
"28.10.2024 20:00 - 28.10.2024 20:15","21450","21258"
"28.10.2024 20:15 - 28.10.2024 20:30","21250","21186"
"28.10.2024 20:30 - 28.10.2024 20:45","21000","20702"
"28.10.2024 20:45 - 28.10.2024 21:00","20700","20460"
"28.10.2024 21:00 - 28.10.2024 21:15","20300","19943"
"28.10.2024 21:15 - 28.10.2024 21:30","19900","19613"
"28.10.2024 21:30 - 28.10.2024 21:45","19450","19100"
"28.10.2024 21:45 - 28.10.2024 22:00","18600","18402"
"28.10.2024 22:00 - 28.10.2024 22:15","18500","18118"
"28.10.2024 22:15 - 28.10.2024 22:30","18200","18131"
"28.10.2024 22:30 - 28.10.2024 22:45","17950","17733"
"28.10.2024 22:45 - 28.10.2024 23:00","17600","17406"
"28.10.2024 23:00 - 28.10.2024 23:15","17300","17040"
"28.10.2024 23:15 - 28.10.2024 23:30","16950","16691"
"28.10.2024 23:30 - 28.10.2024 23:45","16700","16400"
"28.10.2024 23:45 - 29.10.2024 00:00","16400","16143"
"29.10.2024 00:00 - 29.10.2024 00:15","16000","16025"
"29.10.2024 00:15 - 29.10.2024 00:30","15850","15779"
"29.10.2024 00:30 - 29.10.2024 00:45","15700","15630"
"29.10.2024 00:45 - 29.10.2024 01:00","15600","15541"
"29.10.2024 01:00 - 29.10.2024 01:15","15500","15450"
"29.10.2024 01:15 - 29.10.2024 01:30","15400","15317"
"29.10.2024 01:30 - 29.10.2024 01:45","15300","15252"
"29.10.2024 01:45 - 29.10.2024 02:00","15250","15096"
"29.10.2024 02:00 - 29.10.2024 02:15","15200","15071"
"29.10.2024 02:15 - 29.10.2024 02:30","15200","15101"
"29.10.2024 02:30 - 29.10.2024 02:45","15200","15031"
"29.10.2024 02:45 - 29.10.2024 03:00","15200","15093"
"29.10.2024 03:00 - 29.10.2024 03:15","15200","14920"
"29.10.2024 03:15 - 29.10.2024 03:30","15200","15099"
"29.10.2024 03:30 - 29.10.2024 03:45","15200","15219"
"29.10.2024 03:45 - 29.10.2024 04:00","15200","15203"
"29.10.2024 04:00 - 29.10.2024 04:15","15250","15399"
"29.10.2024 04:15 - 29.10.2024 04:30","15400","15583"
"29.10.2024 04:30 - 29.10.2024 04:45","15550","15743"
"29.10.2024 04:45 - 29.10.2024 05:00","15750","15839"
"29.10.2024 05:00 - 29.10.2024 05:15","16000","16251"
"29.10.2024 05:15 - 29.10.2024 05:30","16250","16395"
"29.10.2024 05:30 - 29.10.2024 05:45","16600","16813"
"29.10.2024 05:45 - 29.10.2024 06:00","17200","17542"
"29.10.2024 06:00 - 29.10.2024 06:15","18600","18670"
"29.10.2024 06:15 - 29.10.2024 06:30","19150","19156"
"29.10.2024 06:30 - 29.10.2024 06:45","19500","19769"
"29.10.2024 06:45 - 29.10.2024 07:00","20050","20110"
"29.10.2024 07:00 - 29.10.2024 07:15","20600","20759"
"29.10.2024 07:15 - 29.10.2024 07:30","20950","20938"
"29.10.2024 07:30 - 29.10.2024 07:45","21150","21112"
"29.10.2024 07:45 - 29.10.2024 08:00","21400","21307"
"29.10.2024 08:00 - 29.10.2024 08:15","21600","21496"
"29.10.2024 08:15 - 29.10.2024 08:30","21750","21635"
"29.10.2024 08:30 - 29.10.2024 08:45","21850","21653"
"29.10.2024 08:45 - 29.10.2024 09:00","21950","21699"
"29.10.2024 09:00 - 29.10.2024 09:15","22050","21765"
"29.10.2024 09:15 - 29.10.2024 09:30","22050","21665"
"29.10.2024 09:30 - 29.10.2024 09:45","22000","21697"
"29.10.2024 09:45 - 29.10.2024 10:00","21700","21335"
"29.10.2024 10:00 - 29.10.2024 10:15","21650","21383"
"29.10.2024 10:15 - 29.10.2024 10:30","21850","21524"
"29.10.2024 10:30 - 29.10.2024 10:45","22000","21682"
"29.10.2024 10:45 - 29.10.2024 11:00","22000","21610"
"29.10.2024 11:00 - 29.10.2024 11:15","22000","21613"
"29.10.2024 11:15 - 29.10.2024 11:30","22000","21809"
"29.10.2024 11:30 - 29.10.2024 11:45","22000","21708"
"29.10.2024 11:45 - 29.10.2024 12:00","22000","21745"
"29.10.2024 12:00 - 29.10.2024 12:15","22000","21765"
"29.10.2024 12:15 - 29.10.2024 12:30","22000","21932"
"29.10.2024 12:30 - 29.10.2024 12:45","22000","21841"
"29.10.2024 12:45 - 29.10.2024 13:00","22000","21979"
"29.10.2024 13:00 - 29.10.2024 13:15","22050","21970"
"29.10.2024 13:15 - 29.10.2024 13:30","22000","21970"
"29.10.2024 13:30 - 29.10.2024 13:45","21700","21561"
"29.10.2024 13:45 - 29.10.2024 14:00","21300","21102"
"29.10.2024 14:00 - 29.10.2024 14:15","21400","21322"
"29.10.2024 14:15 - 29.10.2024 14:30","21450","21449"
"29.10.2024 14:30 - 29.10.2024 14:45","21450","21629"
"29.10.2024 14:45 - 29.10.2024 15:00","21450","21514"
"29.10.2024 15:00 - 29.10.2024 15:15","21450","21340"
"29.10.2024 15:15 - 29.10.2024 15:30","21450","21582"
"29.10.2024 15:30 - 29.10.2024 15:45","21450","21662"
"29.10.2024 15:45 - 29.10.2024 16:00","21550","21647"
"29.10.2024 16:00 - 29.10.2024 16:15","21800","21913"
"29.10.2024 16:15 - 29.10.2024 16:30","22150","22084"
"29.10.2024 16:30 - 29.10.2024 16:45","22450","22369"
"29.10.2024 16:45 - 29.10.2024 17:00","22500","22327"
"29.10.2024 17:00 - 29.10.2024 17:15","22500","22511"
"29.10.2024 17:15 - 29.10.2024 17:30","22500","22396"
"29.10.2024 17:30 - 29.10.2024 17:45","22350","22109"
"29.10.2024 17:45 - 29.10.2024 18:00","22150","21857"
"29.10.2024 18:00 - 29.10.2024 18:15","22100","21755"
"29.10.2024 18:15 - 29.10.2024 18:30","22100","22017"
"29.10.2024 18:30 - 29.10.2024 18:45","22100","21900"
"29.10.2024 18:45 - 29.10.2024 19:00","22100","21957"
"29.10.2024 19:00 - 29.10.2024 19:15","22100","21736"
"29.10.2024 19:15 - 29.10.2024 19:30","22100","21753"
"29.10.2024 19:30 - 29.10.2024 19:45","22100","21674"
"29.10.2024 19:45 - 29.10.2024 20:00","22000","21472"
"29.10.2024 20:00 - 29.10.2024 20:15","21850","21435"
"29.10.2024 20:15 - 29.10.2024 20:30","21650","21072"
"29.10.2024 20:30 - 29.10.2024 20:45","21400","20957"
"29.10.2024 20:45 - 29.10.2024 21:00","21150","20546"
"29.10.2024 21:00 - 29.10.2024 21:15","20700","20256"
"29.10.2024 21:15 - 29.10.2024 21:30","20200","19805"
"29.10.2024 21:30 - 29.10.2024 21:45","19600","19405"
"29.10.2024 21:45 - 29.10.2024 22:00","19000","18529"
"29.10.2024 22:00 - 29.10.2024 22:15","18800","18503"
"29.10.2024 22:15 - 29.10.2024 22:30","18500","18160"
"29.10.2024 22:30 - 29.10.2024 22:45","18200","17866"
"29.10.2024 22:45 - 29.10.2024 23:00","17900","17472"
"29.10.2024 23:00 - 29.10.2024 23:15","17500","16935"
"29.10.2024 23:15 - 29.10.2024 23:30","17150","16770"
"29.10.2024 23:30 - 29.10.2024 23:45","16900","16403"
"29.10.2024 23:45 - 30.10.2024 00:00","16550","16188"
"30.10.2024 00:00 - 30.10.2024 00:15","16150","16067"
"30.10.2024 00:15 - 30.10.2024 00:30","16000","15773"
"30.10.2024 00:30 - 30.10.2024 00:45","15850","15458"
"30.10.2024 00:45 - 30.10.2024 01:00","15750","15306"
"30.10.2024 01:00 - 30.10.2024 01:15","15650","15349"
"30.10.2024 01:15 - 30.10.2024 01:30","15550","15113"
"30.10.2024 01:30 - 30.10.2024 01:45","15450","15230"
"30.10.2024 01:45 - 30.10.2024 02:00","15400","14993"
"30.10.2024 02:00 - 30.10.2024 02:15","15350","15004"
"30.10.2024 02:15 - 30.10.2024 02:30","15350","15000"
"30.10.2024 02:30 - 30.10.2024 02:45","15350","14988"
"30.10.2024 02:45 - 30.10.2024 03:00","15350","15037"
"30.10.2024 03:00 - 30.10.2024 03:15","15350","14891"
"30.10.2024 03:15 - 30.10.2024 03:30","15350","15211"
"30.10.2024 03:30 - 30.10.2024 03:45","15350","15138"
"30.10.2024 03:45 - 30.10.2024 04:00","15350","15290"
"30.10.2024 04:00 - 30.10.2024 04:15","15400","15308"
"30.10.2024 04:15 - 30.10.2024 04:30","15550","15469"
"30.10.2024 04:30 - 30.10.2024 04:45","15700","15625"
"30.10.2024 04:45 - 30.10.2024 05:00","15900","15705"
"30.10.2024 05:00 - 30.10.2024 05:15","16150","15995"
"30.10.2024 05:15 - 30.10.2024 05:30","16400","16435"
"30.10.2024 05:30 - 30.10.2024 05:45","16750","16657"
"30.10.2024 05:45 - 30.10.2024 06:00","17450","17266"
"30.10.2024 06:00 - 30.10.2024 06:15","18850","18328"
"30.10.2024 06:15 - 30.10.2024 06:30","19400","18848"
"30.10.2024 06:30 - 30.10.2024 06:45","19750","19493"
"30.10.2024 06:45 - 30.10.2024 07:00","20300","20174"
"30.10.2024 07:00 - 30.10.2024 07:15","20750","20413"
"30.10.2024 07:15 - 30.10.2024 07:30","21100","20669"
"30.10.2024 07:30 - 30.10.2024 07:45","21300","20840"
"30.10.2024 07:45 - 30.10.2024 08:00","21550","21057"
"30.10.2024 08:00 - 30.10.2024 08:15","21750","21375"
"30.10.2024 08:15 - 30.10.2024 08:30","21900","21317"
"30.10.2024 08:30 - 30.10.2024 08:45","22000","21379"
"30.10.2024 08:45 - 30.10.2024 09:00","22050","21565"
"30.10.2024 09:00 - 30.10.2024 09:15","22150","21464"
"30.10.2024 09:15 - 30.10.2024 09:30","22150","21426"
"30.10.2024 09:30 - 30.10.2024 09:45","22100","21293"
"30.10.2024 09:45 - 30.10.2024 10:00","21800","20864"
"30.10.2024 10:00 - 30.10.2024 10:15","21750","20655"
"30.10.2024 10:15 - 30.10.2024 10:30","21950","20920"
"30.10.2024 10:30 - 30.10.2024 10:45","22100","21273"
"30.10.2024 10:45 - 30.10.2024 11:00","22100","21260"
"30.10.2024 11:00 - 30.10.2024 11:15","22100","21274"
"30.10.2024 11:15 - 30.10.2024 11:30","22100","21220"
"30.10.2024 11:30 - 30.10.2024 11:45","22100","21454"
"30.10.2024 11:45 - 30.10.2024 12:00","22100","21294"
"30.10.2024 12:00 - 30.10.2024 12:15","22100","21406"
"30.10.2024 12:15 - 30.10.2024 12:30","22100","21676"
"30.10.2024 12:30 - 30.10.2024 12:45","22100","21568"
"30.10.2024 12:45 - 30.10.2024 13:00","22100","21664"
"30.10.2024 13:00 - 30.10.2024 13:15","22150","21916"
"30.10.2024 13:15 - 30.10.2024 13:30","22050","21459"
"30.10.2024 13:30 - 30.10.2024 13:45","21750","21554"
"30.10.2024 13:45 - 30.10.2024 14:00","21300","21182"
"30.10.2024 14:00 - 30.10.2024 14:15","21400","21329"
"30.10.2024 14:15 - 30.10.2024 14:30","21450","21540"
"30.10.2024 14:30 - 30.10.2024 14:45","21450","21520"
"30.10.2024 14:45 - 30.10.2024 15:00","21450","21394"
"30.10.2024 15:00 - 30.10.2024 15:15","21450","21462"
"30.10.2024 15:15 - 30.10.2024 15:30","21450","21648"
"30.10.2024 15:30 - 30.10.2024 15:45","21450","21629"
"30.10.2024 15:45 - 30.10.2024 16:00","21450","21488"
"30.10.2024 16:00 - 30.10.2024 16:15","21700","22007"
"30.10.2024 16:15 - 30.10.2024 16:30","22050","22114"
"30.10.2024 16:30 - 30.10.2024 16:45","22450","22653"
"30.10.2024 16:45 - 30.10.2024 17:00","22500","22560"
"30.10.2024 17:00 - 30.10.2024 17:15","22500","22448"
"30.10.2024 17:15 - 30.10.2024 17:30","22500","22428"
"30.10.2024 17:30 - 30.10.2024 17:45","22300","22272"
"30.10.2024 17:45 - 30.10.2024 18:00","22100","21829"
"30.10.2024 18:00 - 30.10.2024 18:15","22050","21836"
"30.10.2024 18:15 - 30.10.2024 18:30","22050","21798"
"30.10.2024 18:30 - 30.10.2024 18:45","22050","22056"
"30.10.2024 18:45 - 30.10.2024 19:00","22050","21937"
"30.10.2024 19:00 - 30.10.2024 19:15","22050","21851"
"30.10.2024 19:15 - 30.10.2024 19:30","22000","21702"
"30.10.2024 19:30 - 30.10.2024 19:45","21950","21758"
"30.10.2024 19:45 - 30.10.2024 20:00","21850","21687"
"30.10.2024 20:00 - 30.10.2024 20:15","21700","21434"
"30.10.2024 20:15 - 30.10.2024 20:30","21500","21293"
"30.10.2024 20:30 - 30.10.2024 20:45","21250","21035"
"30.10.2024 20:45 - 30.10.2024 21:00","21000","20737"
"30.10.2024 21:00 - 30.10.2024 21:15","20550","20140"
"30.10.2024 21:15 - 30.10.2024 21:30","20050","19913"
"30.10.2024 21:30 - 30.10.2024 21:45","19450","19516"
"30.10.2024 21:45 - 30.10.2024 22:00","18850","18739"
"30.10.2024 22:00 - 30.10.2024 22:15","18650","18517"
"30.10.2024 22:15 - 30.10.2024 22:30","18350","18305"
"30.10.2024 22:30 - 30.10.2024 22:45","18050","17936"
"30.10.2024 22:45 - 30.10.2024 23:00","17750","17497"
"30.10.2024 23:00 - 30.10.2024 23:15","17350","17161"
"30.10.2024 23:15 - 30.10.2024 23:30","17000","16888"
"30.10.2024 23:30 - 30.10.2024 23:45","16750","16561"
"30.10.2024 23:45 - 31.10.2024 00:00","16400","16117"
"31.10.2024 00:00 - 31.10.2024 00:15","15900","16015"
"31.10.2024 00:15 - 31.10.2024 00:30","15750","15852"
"31.10.2024 00:30 - 31.10.2024 00:45","15600","15809"
"31.10.2024 00:45 - 31.10.2024 01:00","15500","15670"
"31.10.2024 01:00 - 31.10.2024 01:15","15400","15624"
"31.10.2024 01:15 - 31.10.2024 01:30","15300","15447"
"31.10.2024 01:30 - 31.10.2024 01:45","15200","15161"
"31.10.2024 01:45 - 31.10.2024 02:00","15150","15121"
"31.10.2024 02:00 - 31.10.2024 02:15","15100","15153"
"31.10.2024 02:15 - 31.10.2024 02:30","15100","14994"
"31.10.2024 02:30 - 31.10.2024 02:45","15100","15017"
"31.10.2024 02:45 - 31.10.2024 03:00","15100","14982"
"31.10.2024 03:00 - 31.10.2024 03:15","15100","15290"
"31.10.2024 03:15 - 31.10.2024 03:30","15100","15085"
"31.10.2024 03:30 - 31.10.2024 03:45","15150","15096"
"31.10.2024 03:45 - 31.10.2024 04:00","15200","15200"
"31.10.2024 04:00 - 31.10.2024 04:15","15300","15324"
"31.10.2024 04:15 - 31.10.2024 04:30","15450","15457"
"31.10.2024 04:30 - 31.10.2024 04:45","15600","15619"
"31.10.2024 04:45 - 31.10.2024 05:00","15800","15805"
"31.10.2024 05:00 - 31.10.2024 05:15","16050","16145"
"31.10.2024 05:15 - 31.10.2024 05:30","16300","16372"
"31.10.2024 05:30 - 31.10.2024 05:45","16650","16589"
"31.10.2024 05:45 - 31.10.2024 06:00","17250","17269"
"31.10.2024 06:00 - 31.10.2024 06:15","18600","18325"
"31.10.2024 06:15 - 31.10.2024 06:30","19100","18873"
"31.10.2024 06:30 - 31.10.2024 06:45","19450","19254"
"31.10.2024 06:45 - 31.10.2024 07:00","19950","19650"
"31.10.2024 07:00 - 31.10.2024 07:15","20500","20227"
"31.10.2024 07:15 - 31.10.2024 07:30","20850","20380"
"31.10.2024 07:30 - 31.10.2024 07:45","21050","20669"
"31.10.2024 07:45 - 31.10.2024 08:00","21250","20774"
"31.10.2024 08:00 - 31.10.2024 08:15","21450","21002"
"31.10.2024 08:15 - 31.10.2024 08:30","21600","21167"
"31.10.2024 08:30 - 31.10.2024 08:45","21650","21183"
"31.10.2024 08:45 - 31.10.2024 09:00","21700","21263"
"31.10.2024 09:00 - 31.10.2024 09:15","21700","21432"
"31.10.2024 09:15 - 31.10.2024 09:30","21700","21387"
"31.10.2024 09:30 - 31.10.2024 09:45","21550","21171"
"31.10.2024 09:45 - 31.10.2024 10:00","21150","20979"
"31.10.2024 10:00 - 31.10.2024 10:15","21100","20726"
"31.10.2024 10:15 - 31.10.2024 10:30","21200","20948"
"31.10.2024 10:30 - 31.10.2024 10:45","21350","21125"
"31.10.2024 10:45 - 31.10.2024 11:00","21350","21043"
"31.10.2024 11:00 - 31.10.2024 11:15","21350","21165"
"31.10.2024 11:15 - 31.10.2024 11:30","21350","21005"
"31.10.2024 11:30 - 31.10.2024 11:45","21350","20862"
"31.10.2024 11:45 - 31.10.2024 12:00","21350","21116"
"31.10.2024 12:00 - 31.10.2024 12:15","21350","21027"
"31.10.2024 12:15 - 31.10.2024 12:30","21350","21167"
"31.10.2024 12:30 - 31.10.2024 12:45","21350","21154"
"31.10.2024 12:45 - 31.10.2024 13:00","21350","21271"
"31.10.2024 13:00 - 31.10.2024 13:15","21400","21292"
"31.10.2024 13:15 - 31.10.2024 13:30","21350","21211"
"31.10.2024 13:30 - 31.10.2024 13:45","21100","21033"
"31.10.2024 13:45 - 31.10.2024 14:00","20700","20626"
"31.10.2024 14:00 - 31.10.2024 14:15","21000","20935"
"31.10.2024 14:15 - 31.10.2024 14:30","21100","20862"
"31.10.2024 14:30 - 31.10.2024 14:45","21100","21161"
"31.10.2024 14:45 - 31.10.2024 15:00","21100","21110"
"31.10.2024 15:00 - 31.10.2024 15:15","21100","21023"
"31.10.2024 15:15 - 31.10.2024 15:30","21100","21092"
"31.10.2024 15:30 - 31.10.2024 15:45","21100","21264"
"31.10.2024 15:45 - 31.10.2024 16:00","21200","21327"
"31.10.2024 16:00 - 31.10.2024 16:15","21450","21564"
"31.10.2024 16:15 - 31.10.2024 16:30","21800","22105"
"31.10.2024 16:30 - 31.10.2024 16:45","22100","22390"
"31.10.2024 16:45 - 31.10.2024 17:00","22150","22538"
"31.10.2024 17:00 - 31.10.2024 17:15","22150","22306"
"31.10.2024 17:15 - 31.10.2024 17:30","22150","22337"
"31.10.2024 17:30 - 31.10.2024 17:45","22000","21901"
"31.10.2024 17:45 - 31.10.2024 18:00","21800","21592"
"31.10.2024 18:00 - 31.10.2024 18:15","21750","21479"
"31.10.2024 18:15 - 31.10.2024 18:30","21750","21642"
"31.10.2024 18:30 - 31.10.2024 18:45","21750","21737"
"31.10.2024 18:45 - 31.10.2024 19:00","21750","21585"
"31.10.2024 19:00 - 31.10.2024 19:15","21700","21294"
"31.10.2024 19:15 - 31.10.2024 19:30","21650","21511"
"31.10.2024 19:30 - 31.10.2024 19:45","21500","21135"
"31.10.2024 19:45 - 31.10.2024 20:00","21300","21026"
"31.10.2024 20:00 - 31.10.2024 20:15","21100","20635"
"31.10.2024 20:15 - 31.10.2024 20:30","20900","20453"
"31.10.2024 20:30 - 31.10.2024 20:45","20600","20205"
"31.10.2024 20:45 - 31.10.2024 21:00","20250","19849"
"31.10.2024 21:00 - 31.10.2024 21:15","19750","19280"
"31.10.2024 21:15 - 31.10.2024 21:30","19300","18914"
"31.10.2024 21:30 - 31.10.2024 21:45","18750","18347"
"31.10.2024 21:45 - 31.10.2024 22:00","18250","17598"
"31.10.2024 22:00 - 31.10.2024 22:15","17900","17226"
"31.10.2024 22:15 - 31.10.2024 22:30","17600","17015"
"31.10.2024 22:30 - 31.10.2024 22:45","17300","16699"
"31.10.2024 22:45 - 31.10.2024 23:00","16900","16337"
"31.10.2024 23:00 - 31.10.2024 23:15","16500","15888"
"31.10.2024 23:15 - 31.10.2024 23:30","16150","15630"
"31.10.2024 23:30 - 31.10.2024 23:45","15850","15373"
"31.10.2024 23:45 - 01.11.2024 00:00","15550","14999"
"01.11.2024 00:00 - 01.11.2024 00:15","14800","14935"
"01.11.2024 00:15 - 01.11.2024 00:30","14500","14749"
"01.11.2024 00:30 - 01.11.2024 00:45","14250","14351"
"01.11.2024 00:45 - 01.11.2024 01:00","14050","14362"
"01.11.2024 01:00 - 01.11.2024 01:15","13900","14163"
